strategy,concurrency,run,accepted,refused,errored,overlapping,violations,p50_ms,p95_ms,p99_ms,wall_ms
naive,1,1,1,0,0,1,0,30.35,30.35,30.35,30.36
naive,1,2,1,0,0,1,0,111.40,111.40,111.40,111.41
naive,1,3,1,0,0,1,0,12.71,12.71,12.71,12.72
naive,1,4,1,0,0,1,0,13.88,13.88,13.88,13.88
naive,1,5,1,0,0,1,0,12.24,12.24,12.24,12.24
naive,1,6,1,0,0,1,0,109.85,109.85,109.85,109.85
naive,1,7,1,0,0,1,0,12.92,12.92,12.92,12.93
naive,1,8,1,0,0,1,0,15.61,15.61,15.61,15.62
naive,1,9,1,0,0,1,0,23.53,23.53,23.53,23.54
naive,1,10,1,0,0,1,0,112.73,112.73,112.73,112.73
naive,10,1,10,0,0,10,9,8.93,10.06,10.06,10.11
naive,10,2,10,0,0,10,9,100.89,100.98,100.98,101.00
naive,10,3,10,0,0,10,9,9.31,9.42,9.42,9.44
naive,10,4,10,0,0,10,9,118.35,118.45,118.45,118.45
naive,10,5,10,0,0,10,9,10.79,10.91,10.91,10.93
naive,10,6,10,0,0,10,9,14.81,14.94,14.94,14.96
naive,10,7,10,0,0,10,9,8.90,9.01,9.01,9.01
naive,10,8,10,0,0,10,9,8.14,8.31,8.31,8.31
naive,10,9,10,0,0,10,9,7.79,7.90,7.90,7.92
naive,10,10,10,0,0,10,9,14.86,14.94,14.94,14.94
naive,50,1,10,40,0,10,9,20.82,26.85,27.61,27.66
naive,50,2,50,0,0,50,49,22.67,22.92,22.94,22.98
naive,50,3,50,0,0,50,49,18.66,18.92,18.93,18.96
naive,50,4,50,0,0,50,49,19.89,20.17,20.20,20.27
naive,50,5,50,0,0,50,49,129.96,130.23,130.25,130.28
naive,50,6,50,0,0,50,49,19.26,19.53,19.58,19.59
naive,50,7,50,0,0,50,49,22.15,22.40,22.43,22.45
naive,50,8,50,0,0,50,49,22.89,23.11,23.15,23.18
naive,50,9,50,0,0,50,49,24.54,24.81,24.81,24.86
naive,50,10,50,0,0,50,49,17.96,20.45,20.48,20.50
naive,200,1,96,104,0,96,95,61.02,97.31,103.08,104.06
naive,200,2,200,0,0,200,199,74.49,75.76,75.89,76.07
naive,200,3,200,0,0,200,199,74.33,75.43,75.50,75.60
naive,200,4,200,0,0,200,199,55.47,63.10,63.14,63.25
naive,200,5,200,0,0,200,199,53.27,64.56,64.65,64.77
naive,200,6,187,13,0,187,186,57.42,67.46,67.59,67.64
naive,200,7,200,0,0,200,199,119.75,127.06,129.97,130.10
naive,200,8,200,0,0,200,199,66.39,76.12,78.24,78.33
naive,200,9,200,0,0,200,199,62.73,75.11,75.17,75.21
