ttl_ms,run,accepted,refused_on_arrival,confirmed,confirm_too_late,dates_sold
250,1,46,14,7,24,7
250,2,39,21,7,15,7
250,3,40,20,5,19,5
250,4,44,16,4,18,4
250,5,35,25,4,11,4
250,6,35,25,6,21,6
250,7,46,14,2,27,2
250,8,47,13,5,31,5
500,1,42,18,6,17,6
500,2,27,33,9,8,9
500,3,31,29,7,10,7
500,4,31,29,7,11,7
500,5,36,24,6,12,6
500,6,31,29,7,14,7
500,7,25,35,9,10,9
500,8,36,24,7,17,7
1000,1,20,40,10,6,10
1000,2,23,37,8,7,8
1000,3,21,39,12,5,12
1000,4,31,29,7,9,7
1000,5,20,40,8,2,8
1000,6,25,35,10,6,10
1000,7,18,42,9,1,9
1000,8,18,42,8,4,8
2000,1,20,40,8,0,8
2000,2,18,42,9,0,9
2000,3,12,48,12,0,12
2000,4,16,44,10,0,10
2000,5,17,43,7,0,7
2000,6,16,44,10,0,10
2000,7,15,45,11,0,11
2000,8,17,43,11,0,11
4000,1,15,45,8,0,8
4000,2,15,45,11,0,11
4000,3,14,46,8,0,8
4000,4,14,46,12,0,12
4000,5,16,44,8,0,8
4000,6,15,45,8,0,8
4000,7,16,44,8,0,8
4000,8,15,45,8,0,8
8000,1,12,48,8,0,8
8000,2,11,49,8,0,8
8000,3,12,48,4,0,4
8000,4,12,48,7,0,7
8000,5,12,48,6,0,6
8000,6,12,48,6,0,6
8000,7,12,48,6,0,6
8000,8,12,48,9,0,9
